,predicate,subject,object,sub,pred,obj
23537,6935,11990,10973,10973,6935,11990
23538,1897,11990,3042,3042,1897,11990
23539,1877,11990,9801,9801,1877,11990
23540,10931,11990,7795,7795,10931,11990
23541,10828,11990,11692,11692,10828,11990
23542,5884,11990,3223,3223,5884,11990
23543,1924,11990,11782,11782,1924,11990
23544,5263,11990,8845,8845,5263,11990
23545,6947,11990,9383,9383,6947,11990
23546,4140,11990,7340,7340,4140,11990
23547,9516,11990,6065,6065,9516,11990
23548,2616,11990,3269,3269,2616,11990
23549,10552,11990,7420,7420,10552,11990
23550,4848,11990,5088,5088,4848,11990
23551,8391,11990,5235,5235,8391,11990
23552,1498,11990,4075,4075,1498,11990
23553,5334,11990,7233,7233,5334,11990
23554,7419,11990,4074,4074,7419,11990
23555,6612,11990,1517,1517,6612,11990
23556,2191,11990,11878,11878,2191,11990
23557,3107,11990,11977,11977,3107,11990
23558,11000,11990,4877,4877,11000,11990
23559,1572,11990,7699,7699,1572,11990
23560,7836,11990,7823,7823,7836,11990
23561,4912,11990,2764,2764,4912,11990
23562,3012,11990,4789,4789,3012,11990
23563,2833,11990,2550,2550,2833,11990
23564,5610,11990,6586,6586,5610,11990
23565,11490,11990,4131,4131,11490,11990
23566,8545,11990,11113,11113,8545,11990
23567,3279,11990,2925,2925,3279,11990
23568,6410,11990,3775,3775,6410,11990
23569,5892,11990,1877,1877,5892,11990
23570,5394,11990,10804,10804,5394,11990
23571,3557,11990,6075,6075,3557,11990
23572,5064,11990,8543,8543,5064,11990
23573,10245,11990,1606,1606,10245,11990
23574,9978,11990,5858,5858,9978,11990
23575,10709,11990,9462,9462,10709,11990
23576,5452,11990,3725,3725,5452,11990
23577,5024,11990,9207,9207,5024,11990
23578,2070,11990,7260,7260,2070,11990
23579,6859,11990,2818,2818,6859,11990
23580,3252,11990,3504,3504,3252,11990
23581,8739,11990,10425,10425,8739,11990
23582,7589,11990,7360,7360,7589,11990
23583,3356,11990,1750,1750,3356,11990
23584,3069,11990,8796,8796,3069,11990
23585,7782,11990,7912,7912,7782,11990
23586,9026,11990,2173,2173,9026,11990
23587,8497,11990,2208,2208,8497,11990
23588,10000,11990,6376,6376,10000,11990
23589,4852,11990,11563,11563,4852,11990
23590,9661,11990,5756,5756,9661,11990
23591,3366,11990,6882,6882,3366,11990
23592,7107,11990,1597,1597,7107,11990
23593,6456,11990,6881,6881,6456,11990
23594,11732,11990,5188,5188,11732,11990
23595,10537,11990,11281,11281,10537,11990
23596,3331,11990,6844,6844,3331,11990
23597,4120,11990,10017,10017,4120,11990
23598,1754,11990,5631,5631,1754,11990
23599,3830,11990,6651,6651,3830,11990
23600,8147,11990,6895,6895,8147,11990
23601,11349,11990,6930,6930,11349,11990
23602,7424,11990,3618,3618,7424,11990
23603,5106,11990,5258,5258,5106,11990
23604,11266,11990,4253,4253,11266,11990
23605,9104,11990,5233,5233,9104,11990
23606,11830,11990,8675,8675,11830,11990
23607,9591,11990,4733,4733,9591,11990
23608,10684,11990,10316,10316,10684,11990
23609,4627,11990,3502,3502,4627,11990
23610,2228,11990,10028,10028,2228,11990
23611,8110,11990,3241,3241,8110,11990
23612,3919,11990,7516,7516,3919,11990
23613,5161,11990,6268,6268,5161,11990
23614,4267,11990,5435,5435,4267,11990
23615,2593,11990,6876,6876,2593,11990
23616,7856,11990,7922,7922,7856,11990
23617,1529,11990,8276,8276,1529,11990
23618,10845,11990,6762,6762,10845,11990
23619,11730,11990,4364,4364,11730,11990
23620,10300,11990,6801,6801,10300,11990
23621,8032,11990,4993,4993,8032,11990
23622,1999,11990,1876,1876,1999,11990
23623,3832,11990,3597,3597,3832,11990
23624,8558,11990,4801,4801,8558,11990
23625,2252,11990,9516,9516,2252,11990
23626,10264,11990,6448,6448,10264,11990
23627,11211,11990,4002,4002,11211,11990
23628,11549,11990,6975,6975,11549,11990
